tweet_id,text,intent,confidence,reason
2855,"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives? https://t.co/vX8vY4l0st",app_bug,0.96,"User reports a setting not persisting, indicating a bug in the app behavior."
2857,"@116381 Hey hey! Thanks for reaching out! @SpotifyCares, could you help out with Pascal's payment update?",billing_payment,0.96,"User asks for help with a payment update, which falls under billing/payment issues."
2861,"@116382 Booooourns. @SpotifyCares, could you please help out with this one?",other,0.8,"The tweet asks for help but does not specify a bug, login, billing, or feature request, so it falls under other."
2868,@SpotifyCares I doubt it :/ but thank you for replying!,other,0.97,"The tweet is a thank‑you response and does not describe a bug, login, billing, or feature request."
2869,"@SpotifyCares why is this album on Spotify if it's not playable? It would be super if was available, THIS IS #2NE1 playlist would be complete if it had all the songs from their first mini album https://t.co/NdN2Hbtdfl",feature_request,0.94,"User asks why an album is unavailable and requests it be added, which is a feature/content request."
2873,"@SpotifyCares every single time someone sends a Spotify link, it never works the first time. I have to 
A L W A Y S press the link twice for it to work 🤦🏻‍♂️🤦🏻‍♂️ https://t.co/MZ9Ai1cFaT",app_bug,0.95,"User reports that Spotify links require pressing twice to work, indicating a functional bug."
2875,@SpotifyCares I'm using my facebook account as a method to log in.,account_login,0.85,"User mentions using Facebook to log in, relating to account access"
2933,"@SpotifyCares Over all connection, I get this notification from the phone as for loving in and out I did a fresh install, no luck!",account_login,0.86,User reports login issues despite reinstalling the app
2934,@SpotifyCares Spotify 8.4.24.871 Android version 7.0 device: a brand new Huawei mate 9 . I will look like an ass if it's a matter of just updates😊,app_bug,0.78,"User references app version and device, implying a potential bug or issue needing an update"
2946,@SpotifyCares is there anyway to move songs around so they're in my order and not the order of when I added them...if that makes sense?,feature_request,0.96,"User asks how to reorder songs, which is a feature request."
2948,@SpotifyCares Thanks. Here's the link: https://t.co/Luc4FiDrIm,other,0.95,"The tweet expresses thanks and shares a link, not a bug, login, billing, or feature request."
2952,"@SpotifyCares What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?",feature_request,0.97,"User asks how to use keywords, which is a usage/help request rather than a bug, login, or billing issue."
2954,@SpotifyCares I feel like my idea has similar keywords as the one I was told to go to – that's closed and can no longer be voted on.,feature_request,0.92,"User is discussing a closed idea and voting, indicating a request or question about feature suggestion handling."
2949,"@SpotifyCares Hi. My @115888 playlists idea's status got changed + can't receive any votes. They sent me a link to a ""similar idea"", but it's closed.",app_bug,0.78,"User reports that their idea's status changed and voting is disabled, indicating a functional problem."
2957,@SpotifyCares Thanks!,other,0.98,"The tweet is a brief thank‑you message, not a bug, login, billing, or feature request."
2959,"@SpotifyCares I've dragged so many songs to the same playlists over + over. One of the aims of technology is to make everyday tasks easier, right? =]",feature_request,0.93,User complains about repetitive task of adding songs to playlists and suggests a need for a simpler feature.
2960,Spotify really needs a feature to add songs to multiple playlists at once. @SpotifyCares,feature_request,0.97,User is requesting a new feature to add songs to multiple playlists at once.
2962,@SpotifyCares AC/DC....,other,0.95,"The tweet only mentions a band and contains no request or issue related to app, account, billing, or features."
2965,"@SpotifyCares Well done, guys. 👍🏼 https://t.co/s9HZ9EqjEX",other,0.99,"The tweet expresses praise for Spotify, not a bug, login, billing, or feature request."
2963,"Hey @SpotifyCares did you take ""You shook me all night long"" off spotify just to piss me off? Why remove the greatest song ever made?",other,0.97,"User complains about a song removal, which doesn't match bug, login, billing, or feature request categories."
2968,@SpotifyCares https://t.co/T85iGba29f,other,0.85,"The tweet contains only a mention and a link with no clear issue, likely unrelated to specific support intents."
2969,@SpotifyCares It’s on the mobile app,app_bug,0.73,"The tweet references the mobile app, suggesting a problem with the app functionality."
3888,@SpotifyCares Okay! I did it! Thanks,other,0.97,"User is expressing thanks, which is praise rather than a bug, login, billing, or feature request."
3890,@SpotifyCares What should I do in this cases? Thanks in advance! (2),other,0.62,"The tweet is vague and does not specify a bug, login, billing, or feature request, so it falls under 'other'."
3891,@SpotifyCares hi! I’ve got an issue where my account is like hijacked with an app/device that I don’t even know called Spotiamb 0.2.1..(1),account_login,0.96,"User reports an unknown device accessing their account, indicating a possible hijack."
3893,@SpotifyCares And this is why I’ll love Spotify forever and why you are my favorite music platform. Thank you! 🙏🏽💯❄️,other,0.98,"The tweet expresses praise and gratitude, not a bug, login, billing, or feature request."
3895,"@SpotifyCares I dunno what system you use that decides which part of the song it gonna play- I love Spotify, but maybe a custom clip option?",feature_request,0.96,"User asks about how song sections are chosen and suggests a custom clip option, which is a feature request."
4995,"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",feature_request,0.97,User asks for a new feature to be added and enabled
4999,@SpotifyCares I used to use that feature as an example of great UX. 😂🙈🙉🙊,other,0.97,"The tweet expresses praise for a feature, not a bug, login, billing, or request."
4996,"@SpotifyCares @116885 I can't fathom why you'd get rid of such an unique, useful feature. us heavy-users feel truly alienated/betrayed. please make this right!",feature_request,0.96,User is upset about a removed feature and asks Spotify to restore it.
5002,@116886 @SpotifyCares I wouldn't go so far. Clearly we were in the minority. Everyone I showed the feature to loved it. Maybe it wasn't well marketed...,other,0.92,"The tweet provides general feedback about a feature's marketing, not a bug, login, billing, or request."
5003,"@116886 @SpotifyCares ... I will though, if they already have the code, they could hide it in an advanced settings area. Maybe a Community Advanced Settings area.",feature_request,0.92,"User suggests adding an advanced settings area, which is a feature request."
5004,"@116885 @SpotifyCares brilliant, please keep me updated? much appreciate it. still hoping they will bring it back in full on the next update",feature_request,0.92,"User asks for an update and hopes a feature will be restored in the next update, indicating a request for a feature change."
5005,"@116886 @SpotifyCares The truth is, although Spotify Cares, they've obviously already found the feature to not be useful to the masses. We are outliers. 😓",other,0.86,"The tweet complains about a feature's usefulness, which doesn't fit bug, login, billing, or request categories."
4997,@SpotifyCares what happened to the iOS tap and hold to preview a song feature? I loved it for queuing songs to a playlist.,feature_request,0.97,"User asks about a missing iOS tap‑and‑hold preview feature and wants it back, which is a feature request."
5008,@SpotifyCares Spotify 8.4.25.906 and iOS 11,other,0.6,"The tweet only provides version info without a clear issue, so it doesn't fit other categories."
5011,@SpotifyCares No just on my phone since I installed iOS 11. Mostly on 3G/4g. It’s very random when it decides not to work.,app_bug,0.92,"User reports random failures on their phone after iOS update, indicating an app malfunction."
5013,"@SpotifyCares Nothing, same problem seems to be happening to a lot of people.",app_bug,0.78,"User mentions a recurring problem affecting many users, indicating an app issue."
5015,@SpotifyCares Didn’t work,app_bug,0.62,"The brief complaint implies a feature or action failed, typical of an app bug."
5009,@116888 @SpotifyCares Same exact issue. Sound won’t play more than 50% although i have it on full,app_bug,0.93,"User reports sound only playing at 50% volume despite being set to full, indicating a playback problem."
5017,@SpotifyCares The buttons on my headphones don’t pause my music anymore. Is this a Spotify or an iOS 11 issue?,app_bug,0.93,"User reports headphone button no longer pausing music, indicating a playback control bug."
5020,"@SpotifyCares BTW I have a confirmation email to say my email address was updated, then got an email to say my subscription had been cancelled?",billing_payment,0.96,"User reports unexpected subscription cancellation, indicating a billing or subscription issue."
5021,@SpotifyCares I can't log into my account as it's saying my password is incorrect but it's the same one I've used for years! I updated my email address but it's saying I don't have an account registered to that address?,account_login,0.97,User reports being unable to log in due to password and email issues.
5023,@SpotifyCares They're back now. I was on my phone's 4g earlier. I don't know what happened but when I connected to my wifi it returned. Thank you though.,app_bug,0.85,"User reports the app stopped working on mobile data but resumed on wifi, indicating a bug or connectivity issue."
5026,@SpotifyCares  All of my songs disappeared from My Songs. They're still in the playlist but I'm not able to view them. https://t.co/lP9IHtod1M,app_bug,0.94,"User reports songs disappearing from My Songs, indicating a malfunction in the app."
5028,@SpotifyCares Doesn’t show in lock screen. Can’t adjust volume of phone isn’t unlocked also.,app_bug,0.96,"User reports Spotify not appearing on lock screen and volume control not working when phone is locked, indicating a functional issue."
5031,@SpotifyCares Works. Blame IOS update.,app_bug,0.78,"User blames an iOS update for a problem, indicating an app bug."
6485,@117153 @SpotifyCares Im paying for premium but every time i log in it keeps saying free service,billing_payment,0.96,"User pays for Premium but sees free service, indicating a subscription/billing issue."
6486,Phew! Everything should be back to normal now. Let @SpotifyCares know if you’re still having issues.,other,0.95,"The tweet is a generic statement about issues being resolved and does not match bug, login, billing, or feature request categories."
6616,@SpotifyCares Yes I did. The dude even said thanks for watching now enjoy your 30 mins of ad free music.,other,0.96,"The tweet is a comment about a promotion and does not relate to bugs, login, billing, or feature requests."
6620,@SpotifyCares Ok! Thanks. I will let you know if it happens again. Thanks for every thing! https://t.co/WWH8AKTJUk,other,0.97,"The tweet expresses gratitude and does not describe a bug, login, billing, or feature request."
6617,@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,billing_payment,0.86,"User reports unexpected ads playing, indicating a possible issue with their Premium subscription or billing."
8206,@SpotifyCares Shot it off thanks,other,0.97,"User is expressing thanks, which is praise, not a support issue"
8207,@SpotifyCares Help your boy out,other,0.62,"The tweet asks for help but provides no specific issue, so it doesn't fit bug, login, billing, or feature request categories."
8208,@SpotifyCares hey my account which I pay for has become unmoored from my Facebook which I'm sure is what I'm registered with,account_login,0.96,"User reports their paid account is no longer linked to their Facebook login, indicating a login/account access issue."
8265,@SpotifyCares is there an email i can message? Ive been trying to buy premuim for a few days but i keep getting the card bad day error.,billing_payment,0.96,"User reports being unable to purchase Premium due to a card error, which is a billing/payment issue."
8291,"@SpotifyCares add lyrics to all songs on ur app pls, apple music can do it u can too",feature_request,0.97,User is requesting a new feature (adding lyrics to all songs).
8424,@SpotifyCares I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,account_login,0.96,User reports trouble accessing their account due to email mismatch while logging in with Facebook.
8425,Will changing my password stop this person from using my @SpotifyCares? https://t.co/VHJyWGO25j,account_login,0.97,"User asks if changing password will stop unauthorized access, relating to account security/login."
8671,@SpotifyCares Fasho thank you for the help,other,0.98,"The tweet expresses gratitude, which falls under praise/other."
8673,"@SpotifyCares Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?",feature_request,0.97,"User asks if the desktop app can play music from personal folders, which is a feature inquiry."
8676,@SpotifyCares Can't access my account. Annoyed that I have to tweet to get tech support for a service I pay for 😡,account_login,0.97,"User reports being unable to access their account, indicating a login issue."
8678,@SpotifyCares I have now tried a different computer on a different network with a different browser (Edge) &amp; still can't push play.,app_bug,0.97,"User reports inability to play music across devices, indicating a functional app issue."
8679,@SpotifyCares No problems with iOS.,other,0.93,"The tweet is a generic statement not related to bugs, login, billing, or feature requests, so it falls under 'other'."
8682,@SpotifyCares Tried an incognito Chrome window.  No change.  Work has blocked https://t.co/JoK7ESpKMg in Firefox,app_bug,0.78,"User reports inability to access content despite troubleshooting, indicating a functional issue."
8683,@SpotifyCares Chrome web player on dell laptop,other,0.62,The tweet only mentions the Chrome web player on a Dell laptop without a clear issue or request.
8686,"@SpotifyCares My web player is stuck in a commercial.  'Play' isn't an option.  Tried clearing cookies, etc. nothing helped. #ijustwantmusic https://t.co/LPxSjwjIHA",app_bug,0.96,"User reports the web player is stuck and cannot play music despite troubleshooting, indicating a bug."
8688,@SpotifyCares Android 6.0.1 and Spotify version 8.4.25.771 armV7,other,0.73,The tweet only provides device and app version information without a clear issue or request.
8689,@SpotifyCares not sure why the app has been slow to load and glitching music for the past couple months. Samsung galaxy s5,app_bug,0.96,"User reports slow loading and glitching music, indicating an app performance bug."
8692,@SpotifyCares With spotify open both on my computer and phone I added a local file to a playlist on my computer. ...,app_bug,0.86,"User reports an issue with adding a local file to a playlist across devices, indicating a possible app bug."
8694,@SpotifyCares on my phone Spotify didn't show the song that was in the playlist but instead asked me to browse for music to add to my newly created...,app_bug,0.93,"User reports the app not displaying a song in a playlist and prompting to browse, indicating a functional issue."
8695,"@SpotifyCares playlist, I only want that one local file visible in the playlist.. It wasn't until I said download, that the song appeared.",feature_request,0.86,"User asks how to show only a specific local file in a playlist, indicating a request for a feature or guidance."
8696,"@SpotifyCares It'd be helpful if it showed the song greyed out as it's not on the phone yet, and simply gave me the option to offline/download the song.",feature_request,0.97,"User suggests a UI improvement for offline/download functionality, which is a feature request."
8697,@SpotifyCares Checked the three dots and saw the download option and then my song appeared. It works.. but it feels hidden. Thank you for your interest :),feature_request,0.92,"User comments that the download option is hidden and suggests UI improvement, fitting a feature request."
8700,@SpotifyCares Shout! be in India soon ..,feature_request,0.95,"User asks when Spotify will be available in India, a request for a new feature/service"
8701,@SpotifyCares Added! - India 😊👍🏻,other,0.97,"The tweet is a positive statement/praise, not related to bugs, login, billing, or feature requests."
9354,@SpotifyCares Here is this pop up that keeps coming up,app_bug,0.92,"User reports a recurring pop-up, indicating a possible app malfunction."
9358,@SpotifyCares I'm new at this how do i DELETE and what's dm,feature_request,0.92,"User asks how to delete something, which is a request for instructions."
9355,@SpotifyCares  https://t.co/q9W8qeRwrw,other,0.6,The tweet contains only a mention and a link with no clear indication of a specific issue or request.
9356,"@SpotifyCares 
Help on my spotify card please",billing_payment,0.86,"User asks for help with their Spotify card, indicating a payment or billing issue."
9362,@642 @115888 @SpotifyCares my spotify premium stopped working,billing_payment,0.92,"User reports their Spotify Premium stopped working, indicating a subscription or billing issue."
