tweet_id,text,in_response_to_tweet_id
2947,@116393 Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH,2949.0
2950,@116393 2: resending your ideas and using keywords that will help your idea easier to find /RB,2948.0
2953,"@116393 We suggest using keywords similar to those used in the suggested idea. If you need anything else, give us a shout /RB",2952.0
2955,"@116393 We hear you. Rest assured, your feedback will be passed on to the right folks /RB",2954.0
2951,@116393 1: Thanks! Ideas usually get closed because they're unable to garner enough votes. We suggest...,2948.0
2956,"@116393 You're welcome! If anything else comes up, we're just one tweet away. Have a https://t.co/cPbDPiAv92 🙂 /BH",2957.0
2958,@116393 Hey Daniel this sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /BH,2959.0
2961,"@116394 Hey Dustin, we're sorry to hear that! Can you let us know the name of the artist of that track? We'll check it out /NS",2963.0
2964,@116394 Thanks. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS,2962.0
2966,"@116394 Sorry about that. We’d love to have all of their stuff available, but we have some info about content here: https://t.co/MEjmIRL2eB /JQ",2965.0
2967,@116395 Alright. Can you send us the Song Link then? Just tap the three dots &gt; Share &gt; Copy Link. We'll have a look /AG,2969.0
2970,@116395 Got it. Are you getting a specific error message when you try playing this track? A screenshot of it would come in handy /KB,2968.0
2971,"@116395 Hey there! Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. Also, what country is your Spotify account set to? /AG",2972.0
3887,@116649 We've just sent a DM your way. Let's carry on chatting there /AN,3888.0
3889,@116649 Hi Nico! Can you send us a DM with your account's email address or username? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt,3890.0
3892,"@116650 You're welcome! If you ever need us again, just give us a shout. https://t.co/m4HWSbgHVZ 🙂 /LO",3893.0
3894,@116650 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /LO,3895.0
4994,@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH,4997.0
4998,@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,4995.0
5000,"@116885 We understand. Don't worry, we'll let the right team know it's something you'd like to see again /NS",4999.0
5001,"@116886 Hey Paula, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see again /GK",4996.0
5006,"@116885 We're sorry if you feel that way. In any case, we appreciate your feedback on this. Feel free to tweet us if there's anything else /GK",5005.0
5007,@116887 Hey! The cavalry's here. Could you confirm the iOS and Spotify version you're using? We'll see what we can suggest /KB,5009.0
5010,"@116887 Got it. Is this happening on 3G/4G, WiFi, or both? Do you get the same issue when you use Spotify on other devices? /KB",5008.0
5012,"@116887 Are you getting any error messages when it happens? Is it happening when you're using earphones, or even without them? /PL",5011.0
5014,@116887 We understand. Can you check if the steps here do the trick: https://t.co/cxGHt0bCR8? /PL,5013.0
5016,@116887 Hmm. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,5015.0
5019,@116889 Hey Lauren! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,5020.0
5022,@116890 2: with anything else. https://t.co/m4HWSbgHVZ 🙂 /LO,5023.0
5025,"@116890 Hey, help's here! Can you try logging in on another device or the web player (https://t.co/aT5o0wcN4V)? Are you seeing your songs? /JP",5026.0
5027,@116891 Hey there! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR,5029.0
5030,@116891 Thanks for the info. Could you try logging out &gt; restarting your device &gt; logging back in to see if it helps? Keep us posted /AR,5028.0
5032,"@116891 Glad to hear everything's working okay now. If there's anything else we can help you with, just give us a... https://t.co/AUc7DGJpgF 🙂 /CH",5031.0
5033,@116892 Hey there! Can you let us know which device and operating system you're using? We'll see what we can suggest /NQ,5034.0
6484,@117152 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,6485.0
6615,"@117167 Hey Terry, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /RA",6618.0
6619,"@117167 Hmm, that's odd. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /RA",6616.0
6621,"@117167 You're welcome! If you ever need us again, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR",6620.0
6622,"@117167 Thanks for confirming! Just to check, did you definitely watch the video ad in full after hearing the offer? /RA",6617.0
7007,"@117212 2: mobile, can you send us the Song Link instead? Just tap the three dots &gt; Share &gt; Copy Link. We look forward to your reply /JU",7008.0
7010,@117213 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,7011.0
8205,"@117435 Hey there! Don't worry, help's here. Can you DM us your account's email address? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",8207.0
8223,"@117441 Hi there! Can you DM us your account's email address or username, and a screenshot of the error message? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt",8224.0
8264,"@117444 Hey, we can help here on Twitter! Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt",8265.0
8290,"@117452 Hey! If you’re Premium, you can connect your Spotify account to the Musixmatch mobile app to enjoy lyrics: https://t.co/scvbRH6MhL /JS",8291.0
8305,@117458 Hey Maggie! We have some info about the Spotify app on Roku here: https://t.co/titMn0j3Im. Give us a shout if there's anything else /MT,8306.0
8423,@117482 Hey Richard! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /CH,8425.0
8426,@117482 We'd recommend deleting your last tweet as it contains sensitive account info. You can DM it to us instead /NY https://t.co/ldFdZRiNAt,8424.0
8670,@117212 No worries! Just give us a shout if you need anything else. We're... https://t.co/zOXI69QSqg /JU,8671.0
8672,@117212 2: here: https://t.co/SgMwFS1ONz. Let us know if you have other questions /JU,8673.0
7009,"@117212 1: Hi there. Don't worry, we'll look into this. Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. If you're on...",7008.0
8675,@117525 Hey Alex! Can you DM us your account's email address or username? We'll take a look backstage /RH https://t.co/ldFdZRiNAt,8676.0
8677,"@117526 Hmm, that's odd. Could you DM us your account's email address? We'll take a look under the hood /KB",8678.0
8681,@117526 Hmm. Does logging in on a different device show the same issue? Keep us updated /PC,8682.0
8685,"@117526 Hi Andrea. Don't worry, help's here. Can you tell us what device and browser you're using? We'll see what we can suggest /JU",8686.0
8687,@117527 Hey there! Can you let us know what Android and Spotify versions you're running? We'll see what we can suggest /NS,8689.0
8690,@117527 Thanks for that! Can you DM us your account's email address and username? We'll take a look backstage /KL https://t.co/ldFdZRiNAt,8688.0
8691,@117528 Hey there! Can you let us know what's happening exactly? We'd love to lend a hand /KC,8693.0
8698,@117528 You're welcome! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /KC,8697.0
8699,"@117529 Awesome! Fingers crossed we'll be available in India soon. If there's anything else, just give us a shout /RH",8701.0
8702,"@117529 We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",8700.0
8703,@117529 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /CB,8704.0
9353,@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS,9356.0
9357,"@117670 Thanks, but we'd suggest deleting your tweet as it contains some sensitive info. Can you send it via DM? Let's continue chatting there /CH",9354.0
9359,"@117670 2: To send us a DM or Direct Message (privately), just click on this link we've attached on this tweet /CH https://t.co/ldFdZRiNAt",9358.0
9360,"@117670 1: To delete your tweet, just tap on the icon that looks like an arrow pointing down and select Delete Tweet from the options. /CH",9358.0
9361,@117671 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZRiNAt,9362.0
9363,@117672 2: recommend showing your support for the idea here: https://t.co/CdI1SY9KZE /KB,9365.0
9366,@117672 2: Rest assured we'll pass your feedback on to the right folks. Let us know if there's anything else we can help with /KB,9364.0
9367,@117672 1: Thanks for pitching in! Our team keeps a close eye on all submissions posted on our Community page.,9364.0
9369,@117673 Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt,9371.0
9372,"@117673 Just to check, are you able to play music fine, but the lock-screen controls are unavailable? We'll keep an eye out for your reply /MU",9373.0
9374,@117673 Hmm. Could you give us the exact iOS 11 and Spotify app versions you're using? We'll see what else we can suggest /JU,9375.0
9376,@117673 Will it be possible if you can log in to another device? Give us a shout if anything comes up /SJ,9377.0
9378,@117673 Thanks. Can you try reinstalling the app? You can find the steps for your device at https://t.co/cxGHt0bCR8. Keep us posted /SJ,9380.0
9382,"@117673 Hey, help's here! Is it still missing after logging out, restarting the app, then logging back in? Let us know how it goes /SJ",9383.0
9384,@117674 We'll keep that in mind! Just give us a shout if you need anything else. We're... https://t.co/zOXI69QSqg /JU,9385.0
9386,@117674 Hi Caspar. Thanks for bringing this up. We’re always testing things in order to improve &amp; we'll pass on your thoughts to our devs /JU,9387.0
10717,@117978 Hey! Sorry about that. We'll pass the feedback on to the right people /RB,10718.0
10719,@117979 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,10720.0
11164,@118116 Can you DM us the username or email address so we can pull up the account and take a closer look? /JU https://t.co/ldFdZRiNAt,11166.0
11167,@118116 You're right. It's possible that some tracks from her iTunes isn't available on Spotify. This is why you can't play these tracks /JU,11169.0
11170,"@118116 Hey Andy! Since Sonos streams directly from Spotify's catalog, it's not possible to play your local files. Hope this clarifies things /JP",11171.0
11173,"@118118 You're welcome. If you have any other questions, just give us a shout. Take care! /KC",11174.0
11175,"@118118 We haven't launched there yet, but hopefully we'll get there soon. Make sure to add your email in the link we sent earlier. Stay tuned 😁 /KC",11176.0
11177,@118118 Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /KC,11178.0
11711,"@118265 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /JS",11712.0
12069,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC",12073.0
12074,@118383 No worries! You know where to find us if there's anything else you need help with. https://t.co/uEkAlnxbzn 😉 /CH,12071.0
12075,"@118383 1: Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. /KC",12073.0
12081,@118384 Hey! The cavalry's here. Can you try the steps at https://t.co/7QTtcOL36B? Let us know how it goes /JS,12082.0
12083,@118385 Hey Maria! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /FR,12084.0
12085,@118386 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,12086.0
12087,"@118387 Fingers crossed that an update would be available soon. For the meantime, let us know if you have other questions /JU",12088.0
12089,"@118387 As we look to improve the overall Spotify experience, we are removing the app from Roku. There's more info here: https://t.co/D2p6hgpCoW /JU",12090.0
12091,Resurrect your playlists 👻 https://t.co/8y3l3q8xEQ,
12646,"@118533 Hey Michael, help's here! Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt",12647.0
14405,@119078 Hey Jacob! Could you send us a DM with your account's email address? We'll take a look backstage /FR,14406.0
14940,@119239 @116380 Hi Sarah! We've just sent you a bit more info over DM. We'll carry on helping out there /JS,14941.0
14942,"@119240 Hey! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /NQ",14943.0
14944,@119241 You're welcome! Let us know if ever you need anything else 😁 /NS,14945.0
14946,@119241 2: You can also use your payment card to pay for all 9 accounts. Hope this helps /NS,14947.0
15664,@119445 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,15665.0
15745,@119468 Hey there! Here's a whole playlist of songs we think might help: https://t.co/k0bYw0dCVA /NQ,15747.0
15748,@119468 We sure do. Feel free to send a tweet our way if you ever need any help with anything 🙂 /NQ,15746.0
16200,@119557 No worries! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /MG,16201.0
16202,@119557 Hey Claire! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MG,16203.0
16204,"@119558 Hey! We don't have any info about this right now, but we'll be sure to pass on your feedback to the right folks /NQ",16206.0
16207,@119558 You're welcome. Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ,16205.0
16208,@119559 Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ,16211.0
16531,@119645 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /NS,16533.0
16534,"@119645 Haha, that's a good one! Let us know if you need anything else 😁 /NS",16532.0
16941,@119724 Hey there! Are you able to uninstall the app after restarting your computer? We'll see what else we can suggest /NQ,16943.0
16944,@119724 2: startup options here: https://t.co/RiTzQF2Sip. Keep us posted /NQ,16942.0
16945,"@119724 1: Can you try restarting your computer in Safe Mode with Networking, then uninstalling the app? There's more info about advanced...",16942.0
16947,@119724 Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,16946.0
17066,@119768 Sorry to hear you feel that way. We've just sent you more info via DM. We'll continue helping out there /LS,17067.0
17176,@119789 Hey Eric! Can you let us know what's happening exactly? We'll see what we can do /NS,17178.0
17179,@119789 Whew! Guess that means we're meant to be... https://t.co/F7KvE0pw2o 😉 /NH,17177.0
17293,@119811 Hmm. Can you DM us your account's email address? We'll see what we can suggest /GS https://t.co/ldFdZRiNAt,17294.0
17295,"@119811 Hi! Just to confirm, have you followed the steps at https://t.co/SgMwFS1ONz? If so, at what point did you get an issue? We'll check it /GS",17296.0
17963,"@119986 You're welcome! If you ever need help with anything else, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR",17964.0
17965,@119986 Thanks for the info. Sometimes content gets removed due to licensing issues. Hopefully we'll have all of their stuff available soon /AR,17966.0
17967,"@119986 Hey! Can you send us the Spotify URI of the artist you're referring to? Also, what country is your account set to? We'll check backstage /AR",17968.0
18466,@120105 Hey! We've just sent a DM your way. Let's carry on chatting there /NQ,18467.0
18468,"@120106 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /RH",18469.0
19241,"@120273 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /NQ",19242.0
19784,@120342 @115888 Hey Chloe! We just replied to your DM. We'll carry on helping out there /KC,19785.0
20086,"@120417 Hey there, help's here! Can you DM us your account's username? We'll see what we can suggest /MO https://t.co/ldFdZRiNAt",20087.0
20540,@120485 Hi there! We've just sent you a bit more info over DM /MA,20541.0
20793,"@120555 Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/XGIC7aZtMa /MA",20794.0
21141,@120632 No worries! Feel free to give us a shout if we can help with anything else. We're always... https://t.co/zOXI69QSqg​ /RS,21142.0
21143,@120633 Hey! We have more info about the Play Queue at https://t.co/G7PK3sVrTN. Let us know if there's anything else /RC,21144.0
21369,@120677 Hey Jan! We've just sent you a bit more info over DM. We'll carry on helping out there /CP,21370.0
22009,"@120794 Hey Kevin, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see /GK",22010.0
22235,"@120859 Thanks Peter! We understand it's a popular idea. Rest assured, we'll pass on your feedback about this to the right team, too /T",22236.0
22237,@120860 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 so it can get support from other users 💚 /RR,22239.0
22617,@120940 Thanks. Could you try logging out of the app and back in again? Does it now show your New Releases? /GK,22619.0
22620,@120940 Got it. Could you DM us your username and email address? We'll take a closer look /JQ https://t.co/ldFdZRiNAt,22618.0
22621,"@120940 Hey Yann, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",22622.0
23255,"@121067 Sorry you feel that way. We can’t make any promises, but your feedback has been noted and passed onto the team /MA",23256.0
23257,"@121068 Hey Lara, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see /GK",23258.0
23259,@121069 Hey there! Can you fire over the device and operating system you're using? We'll see what we can suggest /PL,23260.0
23261,@121070 Hi Matt! Thanks for pointing this out; we'll get this reported. We'll be right here if you need anything else in the meantime /T,23262.0
23263,"@121071 Hey Margaret, help's here! Can you DM us your account's username and email address? We'll do some digging 🔍 /TR https://t.co/ldFdZRiNAt",23264.0
23265,"@121072 Hey Rue! Right now, the 30-day Premium trial is unavailable. If you haven't been on a subscription before, can you DM us your account's username and email address? We'll see what we can suggest /SY https://t.co/ldFdZRiNAt",23266.0
23275,"@121073 Hmm. Is this happening after a specific song plays? Also, are you using a wired or wireless connection? /AY",23277.0
23278,"@121073 Just to confirm, are you listening on PlayStation via Connect? If so, what device, operating system, and Spotify version are you using? /AY",23276.0
23280,@121073 Got it. Could you send us your account's email address or username via DM? We'll take a closer look /AY https://t.co/ldFdZRiNAt,23279.0
23281,@121073 Hey! Can you tell us more about what's happening? Are you getting any error messages? A screenshot of what you can see would be handy /AY,23282.0
24103,"@121194 Thanks for understanding. If we can help with anything else, just give us a shout /AY",24104.0
24105,"@121194 Hey Nicolai! We're afraid it's currently not possible, but we appreciate your feedback. We'll get it passed on to the right folks /AY",24106.0
24604,@121306 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt,24605.0
25398,"@121502 Hey there! The Intro Offer of ₱9 for 3 months is for those who haven't had Premium before. If you haven't been on a subscription in the past, head over to https://t.co/k4M4Rau9Gq to take this offer 😉 /SY",25399.0
26004,"@121675 Hey there! We’d love to have all of Day6's stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /GK",26005.0
26006,@121676 https://t.co/qAh6tkevrD! We're glad it's working now. You know where to find us if you need us again /KM,26007.0
26008,@121676 Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account makes a difference? /DV,26009.0
26010,"@121676 Hi, help's arrived! Can you let us know what's happening exactly? Also, what're your device's OS and Spotify versions? /DV",26011.0
27000,"@121906 Hey there! We can help out in English via Twitter, but we also have Thai support via email at https://t.co/ZgU70TbP8M /MA",27001.0
27675,"@122049 Hey there! We're afraid playing Audiobook on-demand is a Premium feature. Thanks for the feedback, we’ll get this passed onto the right team. For anything else, let us know /GU",27677.0
27678,"@122049 Rest assured, your feedback has been passed on to the right team to look into. Give us a shout if you have any other questions /ZO",27676.0
27953,@122124 Great! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /AC,27954.0
27955,"@122124 Hey, help's here. Does logging out and back in help at all? If the issue persists, try restarting the device. Let us know how it goes /AC",27956.0
27957,@122125 Hey! We're launching in new countries as often as possible. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /AC,12092.0
27959,"@122125 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Have a nice day /AC",27958.0
29033,@122389 Hey! We've sent a DM your way. Check it out 🙂 /L,29034.0
29035,@122390 Hey Andre! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt,29036.0
29606,@122505 Thanks. Can you try logging out &gt; restarting your device &gt; logging back in help? Let us know how it goes /RS,29608.0
29609,@122505 Hmm. Best thing to try here is a quick reinstall. Just follow the steps at https://t.co/grEcQYYFVS. Keep us posted /NS,29607.0
29611,@122505 2: Go to Artist Radio &gt; follow that radio station. That should do the trick! Let us know if you have other questions /GK,29610.0
29612,"@122505 1: Got it. Just in case, you can add artists to your Radio by going to an artist you like &gt; click on the three dots (...) &gt; click on /GK",29610.0
29613,"@122505 Hey, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RS",29614.0
29615,@122506 @115888 Hey there! We've just sent a DM your way. Let's carry on chatting there /AC,29616.0
29617,@122507 Hi there! We've just sent a DM your way. Let's carry on chatting there /PL,29618.0
30115,@122625 Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /RS,30116.0
30595,"@122735 Hey, we're here to help! Can you let us know what's happening exactly? We'll see what we can suggest /KM",30596.0
30599,@122736 @117153 Hey John! We've just sent you a bit more info over DM. We'll carry on helping out there /AC,30600.0
30615,@122737 Hey! This sounds like a great idea. You can show your support for the same idea in our Community: https://t.co/2MDGCLPOX5 /RS,30616.0
31592,"@122969 Hey! This isn't possible right now, but you can vote for the idea and help make it happen here: https://t.co/hlXvRg5Zog /GK",31593.0
31594,@122970 Hey! Could you send us a DM with your account's email address or username? We'll take a look /AY https://t.co/ldFdZRiNAt,31595.0
31597,@122971 Hey! Pre-sale codes are being sent out by email to some of Kygo's biggest fans on Spotify. Hopefully you're one of them /CB,31598.0
32066,@123091 Hey! Do you have any trouble with this link: https://t.co/atYeVkuQDq? Let us know /CB,32067.0
32068,@123092 @117153 Hey! We've just replied to your DM. We'll be happy to help you out there /BD,32069.0
32070,@123093 Hey Liz! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt,32071.0
32480,@123206 Hey! Can you DM us your account's email address? We'll see what we can suggest /CB https://t.co/ldFdZRiNAt,32481.0
32482,@123207 Hi there! Can you DM us your account's email address? We'll see what we can suggest /ST https://t.co/ldFdZRiNAt,32483.0
33417,@123393 Hey! We just replied to your DM with more info. We'll carry on helping out backstage /CB,33418.0
33419,@123394 Hey! Can you DM us your account's email address? We'll see what we can suggest /CB https://t.co/ldFdZRiNAt,33420.0
33421,@123395 Hey there! Can you let us know the iOS and Spotify versions you're using? We'll take a look backstage /RS,33423.0
33424,@123395 Thanks. Could you let us know the exact iOS device and version? We'll see what we can suggest /RS,33422.0
33426,@123395 2: things in order to improve Spotify. There's more info here: https://t.co/uon71wdZQZ /RS,33425.0
33427,@123395 Got it. It looks like you're seeing one of the changes that we've recently made to the app. We're always testing...,33425.0
33429,"@123395 We're afraid it's not possible to revert back to the older app version, but we appreciate your feedback. We'll pass it on to the team /NY",33428.0
33430,@123396 Thanks. Does logging out &gt; restarting your device &gt; logging back in again make any difference? /KM,33432.0
33433,@123396 Sounds like a plan! We'll be right here waiting for your update /KM,33431.0
33434,@123396 Hey! That doesn't sound right. Can you let us know the device and Spotify version you're running? We'll see what we can suggest /KM,33435.0
34754,"@123541 Hey Val! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /AY",34756.0
34757,"@123541 No worries. If there's anything else, just give us a shout. Have a... https://t.co/FQulrDtFky 🙂 /AY",34755.0
34758,"@123542 Hey there! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /RC",34759.0
35389,"@123720 Fingers crossed we'll have it available to you soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /KM",35390.0
36161,"@123872 You can try using a different computer to see if it helps. Also, try resetting your password at https://t.co/jGP5GWOoVY /CB",36163.0
36164,@123872 Thanks for clarifying! Can you DM us your account's email address? We'll take a look backstage /CB https://t.co/ldFdZRiNAt,36162.0
36165,@123872 Thanks! Can you try using an incognito/ private window or a different browser? Does that make any difference? /JP,36170.0
36171,"@123872 Hey, we'd love to help! Can you send us a screenshot of the exact error message you're getting? We'll take a closer look /JP",36172.0
36722,"@124009 2. device, operating system, and Spotify version you're using? We'll see what we can suggest /GU",36723.0
36725,@124010 Thanks! Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this /CY,36726.0
36729,"@124011 We understand. Hopefully, Spotify will launch in your country soon 🎧 /CY",36730.0
36731,@124011 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /RH,36732.0
